"STATISTIC Label","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2024Q1","All house types","Carlow County Council","Number","57"
"New Dwelling Completion","2024Q1","All house types","Dublin City Council","Number","491"
"New Dwelling Completion","2024Q1","All house types","Dún Laoghaire Rathdown County Council","Number","380"
"New Dwelling Completion","2024Q1","All house types","Donegal County Council","Number","126"
"New Dwelling Completion","2024Q1","All house types","Fingal County Council","Number","293"
"New Dwelling Completion","2024Q1","All house types","Galway County Council","Number","210"
"New Dwelling Completion","2024Q1","All house types","Galway City Council","Number","66"
"New Dwelling Completion","2024Q1","All house types","Kildare County Council","Number","272"
"New Dwelling Completion","2024Q1","All house types","Kilkenny County Council","Number","119"
"New Dwelling Completion","2024Q1","All house types","Kerry County Council","Number","72"
"New Dwelling Completion","2024Q1","All house types","Longford County Council","Number","32"
"New Dwelling Completion","2024Q1","All house types","Louth County Council","Number","176"
"New Dwelling Completion","2024Q1","All house types","Limerick City & County Council","Number","192"
"New Dwelling Completion","2024Q1","All house types","Leitrim County Council","Number","18"
"New Dwelling Completion","2024Q1","All house types","Laois County Council","Number","144"
"New Dwelling Completion","2024Q1","All house types","Meath County Council","Number","467"
"New Dwelling Completion","2024Q1","All house types","Monaghan County Council","Number","65"
"New Dwelling Completion","2024Q1","All house types","Mayo County Council","Number","83"
"New Dwelling Completion","2024Q1","All house types","Offaly County Council","Number","97"
"New Dwelling Completion","2024Q1","All house types","Roscommon County Council","Number","56"
"New Dwelling Completion","2024Q1","All house types","South Dublin County Council","Number","696"
"New Dwelling Completion","2024Q1","All house types","Sligo County Council","Number","39"
"New Dwelling Completion","2024Q1","All house types","Tipperary County Council","Number","95"
"New Dwelling Completion","2024Q1","All house types","Waterford City & County Council","Number","148"
"New Dwelling Completion","2024Q1","All house types","Westmeath County Council","Number","88"
"New Dwelling Completion","2024Q1","All house types","Wicklow County Council","Number","274"
"New Dwelling Completion","2024Q1","All house types","Wexford County Council","Number","169"
"New Dwelling Completion","2024Q1","All house types","Ireland","Number","5797"
"New Dwelling Completion","2024Q2","Single house","Cork City Council","Number","15"
"New Dwelling Completion","2024Q2","Single house","Clare County Council","Number","54"
"New Dwelling Completion","2024Q2","Single house","Cavan County Council","Number","36"
"New Dwelling Completion","2024Q2","Single house","Cork County Council","Number","147"
"New Dwelling Completion","2024Q2","Single house","Carlow County Council","Number","24"
"New Dwelling Completion","2024Q2","Single house","Dublin City Council","Number","11"
"New Dwelling Completion","2024Q2","Single house","Dún Laoghaire Rathdown County Council","Number","13"
"New Dwelling Completion","2024Q2","Single house","Donegal County Council","Number","95"
"New Dwelling Completion","2024Q2","Single house","Fingal County Council","Number","15"
"New Dwelling Completion","2024Q2","Single house","Galway County Council","Number","99"
"New Dwelling Completion","2024Q2","Single house","Galway City Council","Number","7"
"New Dwelling Completion","2024Q2","Single house","Kildare County Council","Number","43"
"New Dwelling Completion","2024Q2","Single house","Kilkenny County Council","Number","30"
"New Dwelling Completion","2024Q2","Single house","Kerry County Council","Number","65"
"New Dwelling Completion","2024Q2","Single house","Longford County Council","Number","18"
"New Dwelling Completion","2024Q2","Single house","Louth County Council","Number","33"
"New Dwelling Completion","2024Q2","Single house","Limerick City & County Council","Number","49"
"New Dwelling Completion","2024Q2","Single house","Leitrim County Council","Number","19"
"New Dwelling Completion","2024Q2","Single house","Laois County Council","Number","41"
"New Dwelling Completion","2024Q2","Single house","Meath County Council","Number","74"
"New Dwelling Completion","2024Q2","Single house","Monaghan County Council","Number","34"
"New Dwelling Completion","2024Q2","Single house","Mayo County Council","Number","96"
"New Dwelling Completion","2024Q2","Single house","Offaly County Council","Number","30"
"New Dwelling Completion","2024Q2","Single house","Roscommon County Council","Number","16"
"New Dwelling Completion","2024Q2","Single house","South Dublin County Council","Number","10"
"New Dwelling Completion","2024Q2","Single house","Sligo County Council","Number","26"
"New Dwelling Completion","2024Q2","Single house","Tipperary County Council","Number","69"
"New Dwelling Completion","2024Q2","Single house","Waterford City & County Council","Number","29"
"New Dwelling Completion","2024Q2","Single house","Westmeath County Council","Number","26"
"New Dwelling Completion","2024Q2","Single house","Wicklow County Council","Number","37"
"New Dwelling Completion","2024Q2","Single house","Wexford County Council","Number","77"
"New Dwelling Completion","2024Q2","Single house","Ireland","Number","1338"
"New Dwelling Completion","2024Q2","Scheme house","Cork City Council","Number","192"
"New Dwelling Completion","2024Q2","Scheme house","Clare County Council","Number","44"
"New Dwelling Completion","2024Q2","Scheme house","Cavan County Council","Number","33"
"New Dwelling Completion","2024Q2","Scheme house","Cork County Council","Number","356"
"New Dwelling Completion","2024Q2","Scheme house","Carlow County Council","Number","34"
"New Dwelling Completion","2024Q2","Scheme house","Dublin City Council","Number","12"
"New Dwelling Completion","2024Q2","Scheme house","Dún Laoghaire Rathdown County Council","Number","229"
"New Dwelling Completion","2024Q2","Scheme house","Donegal County Council","Number","37"
"New Dwelling Completion","2024Q2","Scheme house","Fingal County Council","Number","213"
"New Dwelling Completion","2024Q2","Scheme house","Galway County Council","Number","144"
"New Dwelling Completion","2024Q2","Scheme house","Galway City Council","Number","59"
"New Dwelling Completion","2024Q2","Scheme house","Kildare County Council","Number","266"
"New Dwelling Completion","2024Q2","Scheme house","Kilkenny County Council","Number","73"
"New Dwelling Completion","2024Q2","Scheme house","Kerry County Council","Number","7"
"New Dwelling Completion","2024Q2","Scheme house","Longford County Council","Number","15"
"New Dwelling Completion","2024Q2","Scheme house","Louth County Council","Number","163"
"New Dwelling Completion","2024Q2","Scheme house","Limerick City & County Council","Number","130"
"New Dwelling Completion","2024Q2","Scheme house","Leitrim County Council","Number","8"
"New Dwelling Completion","2024Q2","Scheme house","Laois County Council","Number","79"
"New Dwelling Completion","2024Q2","Scheme house","Meath County Council","Number","250"
"New Dwelling Completion","2024Q2","Scheme house","Monaghan County Council","Number","25"
"New Dwelling Completion","2024Q2","Scheme house","Mayo County Council","Number","51"
"New Dwelling Completion","2024Q2","Scheme house","Offaly County Council","Number","30"
"New Dwelling Completion","2024Q2","Scheme house","Roscommon County Council","Number","15"
"New Dwelling Completion","2024Q2","Scheme house","South Dublin County Council","Number","504"
"New Dwelling Completion","2024Q2","Scheme house","Sligo County Council","Number","25"
"New Dwelling Completion","2024Q2","Scheme house","Tipperary County Council","Number","92"
"New Dwelling Completion","2024Q2","Scheme house","Waterford City & County Council","Number","154"
"New Dwelling Completion","2024Q2","Scheme house","Westmeath County Council","Number","154"
"New Dwelling Completion","2024Q2","Scheme house","Wicklow County Council","Number","365"
"New Dwelling Completion","2024Q2","Scheme house","Wexford County Council","Number","195"
"New Dwelling Completion","2024Q2","Scheme house","Ireland","Number","3954"
"New Dwelling Completion","2024Q2","Apartment","Cork City Council","Number","94"
"New Dwelling Completion","2024Q2","Apartment","Clare County Council","Number","4"
"New Dwelling Completion","2024Q2","Apartment","Cavan County Council","Number","0"
"New Dwelling Completion","2024Q2","Apartment","Cork County Council","Number","29"
"New Dwelling Completion","2024Q2","Apartment","Carlow County Council","Number","8"
"New Dwelling Completion","2024Q2","Apartment","Dublin City Council","Number","555"
"New Dwelling Completion","2024Q2","Apartment","Dún Laoghaire Rathdown County Council","Number","197"
"New Dwelling Completion","2024Q2","Apartment","Donegal County Council","Number","6"
"New Dwelling Completion","2024Q2","Apartment","Fingal County Council","Number","115"
"New Dwelling Completion","2024Q2","Apartment","Galway County Council","Number","17"
"New Dwelling Completion","2024Q2","Apartment","Galway City Council","Number","8"
"New Dwelling Completion","2024Q2","Apartment","Kildare County Council","Number","35"
"New Dwelling Completion","2024Q2","Apartment","Kilkenny County Council","Number","6"
"New Dwelling Completion","2024Q2","Apartment","Kerry County Council","Number","31"
"New Dwelling Completion","2024Q2","Apartment","Longford County Council","Number","8"
"New Dwelling Completion","2024Q2","Apartment","Louth County Council","Number","46"
"New Dwelling Completion","2024Q2","Apartment","Limerick City & County Council","Number","46"
"New Dwelling Completion","2024Q2","Apartment","Leitrim County Council","Number","4"
"New Dwelling Completion","2024Q2","Apartment","Laois County Council","Number","9"
"New Dwelling Completion","2024Q2","Apartment","Meath County Council","Number","58"
"New Dwelling Completion","2024Q2","Apartment","Monaghan County Council","Number","5"
